                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.91708,                0.31976,                 1.1903,                0.99982,                      1,                0.99499,                0.84792,                0.87912,                0.24928,                 1.2751,               0.003961,               0.003961,               0.003961
                     64,                0.91719,                0.31851,                 1.1898,                0.99982,                      1,                0.99499,                0.84866,                0.87887,                0.24922,                 1.2748,               0.003862,               0.003862,               0.003862
                     65,                0.91771,                0.31807,                 1.1894,                0.99984,                      1,                0.99499,                0.84842,                0.87865,                0.24888,                 1.2744,               0.003763,               0.003763,               0.003763
                     66,                0.91718,                0.31674,                 1.1889,                0.99985,                      1,                0.99499,                0.84807,                0.87821,                0.24885,                 1.2742,               0.003664,               0.003664,               0.003664
                     67,                0.91548,                0.31673,                 1.1872,                0.99988,                      1,                0.99499,                0.84878,                 0.8782,                0.24875,                 1.2744,               0.003565,               0.003565,               0.003565
                     68,                0.91496,                0.31622,                 1.1876,                0.99986,                      1,                0.99499,                0.84864,                0.87825,                0.24876,                 1.2746,               0.003466,               0.003466,               0.003466
                     69,                0.91525,                0.31548,                 1.1882,                0.99986,                      1,                0.99499,                0.84925,                0.87823,                0.24854,                 1.2743,               0.003367,               0.003367,               0.003367
                     70,                0.91317,                0.31453,                 1.1867,                0.99988,                      1,                0.99499,                0.85011,                0.87787,                0.24848,                 1.2741,               0.003268,               0.003268,               0.003268
                     71,                0.91271,                0.31334,                 1.1862,                0.99985,                      1,                0.99499,                0.85047,                0.87783,                0.24876,                  1.274,               0.003169,               0.003169,               0.003169
                     72,                0.91089,                0.31252,                 1.1859,                0.99985,                      1,                0.99499,                0.85023,                0.87721,                0.24863,                 1.2734,                0.00307,                0.00307,                0.00307
                     73,                0.91094,                0.31236,                 1.1845,                0.99984,                0.99999,                0.99499,                0.85043,                0.87685,                0.24852,                 1.2729,               0.002971,               0.002971,               0.002971
                     74,                0.91139,                0.31198,                 1.1862,                0.99984,                      1,                0.99499,                0.85016,                0.87668,                  0.248,                 1.2728,               0.002872,               0.002872,               0.002872
                     75,                0.91043,                0.31112,                 1.1851,                0.99985,                      1,                0.99499,                0.85053,                0.87614,                0.24762,                 1.2727,               0.002773,               0.002773,               0.002773
                     76,                0.90878,                0.30944,                 1.1832,                0.99988,                      1,                0.99499,                 0.8511,                0.87583,                0.24723,                 1.2722,               0.002674,               0.002674,               0.002674
                     77,                0.90915,                0.30913,                 1.1831,                0.99989,                0.99997,                0.99498,                0.85123,                0.87552,                 0.2471,                  1.272,               0.002575,               0.002575,               0.002575
                     78,                0.90825,                0.30916,                 1.1829,                0.99988,                0.99998,                0.99499,                0.85007,                0.87523,                0.24689,                 1.2715,               0.002476,               0.002476,               0.002476
                     79,                0.90657,                0.30689,                 1.1811,                0.99988,                0.99998,                0.99499,                0.85048,                0.87466,                0.24694,                  1.271,               0.002377,               0.002377,               0.002377
                     80,                0.90713,                0.30727,                 1.1827,                0.99989,                0.99998,                0.99499,                0.85119,                0.87463,                0.24666,                 1.2707,               0.002278,               0.002278,               0.002278
                     81,                0.90578,                0.30551,                 1.1804,                0.99989,                0.99998,                0.99499,                0.85114,                 0.8744,                 0.2464,                 1.2708,               0.002179,               0.002179,               0.002179
