                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.89967,                0.30896,                 1.1811,                0.99982,                0.99997,                  0.995,                0.85159,                0.87114,                0.24834,                 1.2725,               0.003169,               0.003169,               0.003169
                     72,                0.89912,                0.30791,                 1.1805,                0.99982,                      1,                  0.995,                0.85167,                0.87062,                0.24804,                 1.2718,                0.00307,                0.00307,                0.00307
                     73,                0.89857,                0.30695,                 1.1805,                0.99981,                      1,                  0.995,                0.85249,                0.87025,                0.24775,                 1.2712,               0.002971,               0.002971,               0.002971
                     74,                 0.8985,                0.30686,                  1.181,                0.99981,                      1,                  0.995,                0.85215,                0.87014,                0.24765,                 1.2709,               0.002872,               0.002872,               0.002872
                     75,                0.89764,                0.30457,                 1.1803,                0.99982,                      1,                  0.995,                0.85146,                0.86979,                0.24712,                 1.2708,               0.002773,               0.002773,               0.002773
                     76,                0.89671,                0.30457,                 1.1798,                0.99983,                      1,                  0.995,                0.85116,                0.86963,                0.24689,                 1.2706,               0.002674,               0.002674,               0.002674
                     77,                0.89631,                0.30431,                 1.1783,                0.99984,                      1,                  0.995,                0.85198,                 0.8696,                0.24666,                 1.2705,               0.002575,               0.002575,               0.002575
                     78,                0.89486,                0.30433,                 1.1789,                0.99985,                      1,                  0.995,                0.85221,                0.86965,                0.24679,                 1.2706,               0.002476,               0.002476,               0.002476
                     79,                0.89223,                0.30178,                 1.1758,                0.99983,                      1,                  0.995,                0.85271,                0.86918,                0.24643,                   1.27,               0.002377,               0.002377,               0.002377
                     80,                0.89357,                0.30154,                 1.1777,                0.99986,                      1,                  0.995,                0.85215,                0.86884,                0.24615,                 1.2696,               0.002278,               0.002278,               0.002278
                     81,                0.89248,                0.30025,                 1.1758,                0.99988,                      1,                  0.995,                0.85328,                0.86879,                0.24609,                 1.2694,               0.002179,               0.002179,               0.002179
                     82,                0.89243,                0.30023,                 1.1765,                0.99988,                      1,                  0.995,                0.85331,                0.86861,                0.24589,                 1.2694,                0.00208,                0.00208,                0.00208
                     83,                0.89185,                0.29903,                 1.1772,                0.99989,                      1,                  0.995,                0.85366,                0.86852,                 0.2458,                 1.2691,               0.001981,               0.001981,               0.001981
                     84,                0.89248,                0.29908,                 1.1763,                 0.9999,                      1,                  0.995,                0.85418,                0.86819,                0.24576,                 1.2688,               0.001882,               0.001882,               0.001882
                     85,                0.88999,                0.29746,                 1.1754,                0.99991,                      1,                  0.995,                 0.8538,                0.86789,                0.24582,                 1.2687,               0.001783,               0.001783,               0.001783
                     86,                0.88848,                0.29606,                 1.1739,                0.99991,                      1,                  0.995,                0.85402,                0.86777,                 0.2457,                 1.2684,               0.001684,               0.001684,               0.001684
                     87,                0.88763,                0.29465,                 1.1735,                0.99992,                      1,                  0.995,                0.85425,                0.86733,                0.24547,                  1.268,               0.001585,               0.001585,               0.001585
                     88,                0.88627,                0.29366,                 1.1728,                0.99992,                      1,                  0.995,                0.85412,                0.86737,                0.24536,                 1.2679,               0.001486,               0.001486,               0.001486
                     89,                 0.8868,                0.29276,                  1.172,                0.99992,                      1,                  0.995,                0.85443,                0.86708,                0.24521,                 1.2676,               0.001387,               0.001387,               0.001387
                     90,                0.88432,                0.29127,                 1.1716,                0.99992,                      1,                  0.995,                0.85412,                0.86703,                 0.2451,                 1.2676,               0.001288,               0.001288,               0.001288
                     91,                0.88315,                0.28971,                 1.1699,                0.99992,                      1,                  0.995,                0.85435,                0.86702,                0.24475,                 1.2677,               0.001189,               0.001189,               0.001189
                     92,                0.88146,                0.28879,                 1.1688,                0.99992,                      1,                  0.995,                0.85492,                0.86696,                0.24435,                 1.2677,                0.00109,                0.00109,                0.00109
                     93,                0.87983,                0.28748,                 1.1682,                0.99992,                0.99999,                  0.995,                0.85451,                0.86696,                0.24441,                 1.2675,               0.000991,               0.000991,               0.000991
                     94,                0.88021,                0.28627,                 1.1676,                0.99993,                0.99997,                  0.995,                0.85435,                0.86684,                0.24409,                 1.2673,               0.000892,               0.000892,               0.000892
                     95,                0.87749,                0.28505,                  1.166,                0.99992,                0.99998,                  0.995,                0.85443,                0.86638,                 0.2439,                  1.267,               0.000793,               0.000793,               0.000793
                     96,                0.87624,                0.28287,                 1.1654,                0.99992,                0.99998,                  0.995,                0.85433,                 0.8661,                0.24373,                 1.2668,               0.000694,               0.000694,               0.000694
                     97,                 0.8763,                0.28122,                 1.1651,                0.99992,                0.99998,                  0.995,                0.85466,                0.86565,                0.24327,                 1.2664,               0.000595,               0.000595,               0.000595
                     98,                0.87328,                0.27913,                 1.1635,                0.99991,                0.99998,                  0.995,                0.85506,                0.86551,                0.24315,                 1.2661,               0.000496,               0.000496,               0.000496
                     99,                0.87021,                0.27688,                 1.1617,                0.99991,                0.99997,                  0.995,                0.85573,                 0.8653,                0.24291,                 1.2658,               0.000397,               0.000397,               0.000397
                    100,                0.86838,                0.27478,                 1.1596,                0.99991,                0.99995,                  0.995,                0.85533,                0.86498,                0.24253,                 1.2653,               0.000298,               0.000298,               0.000298
